term	partOf	definition
release		
biological control	release	
erosion control/ dune stabilization	release	
fishery in the wild	release	
hunting	release	
landscape/flora/fauna “improvement” in the wild	release	
introduction for conservation purposes or wildlife management	release	
release in nature for use	release	
other intentional release	release	
escape		
agriculture	escape	
aquaculture / mariculture	escape	
botanical garden/zoo/aquaria	escape	
pet/aquarium/terrarium species	escape	
farmed animals	escape	
forestry	escape	
fur farms	escape	
horticulture	escape	
ornamental purpose other than horticulture	escape	
research and ex-situ breeding	escape	
live food and live bait	escape	
other escape from confinement	escape	
contaminant		
contaminant nursery material	contaminant	
contaminated bait	contaminant	
food contaminant	contaminant	
contaminant on animals	contaminant	
parasites on animals	contaminant	
contaminant on plants	contaminant	
parasites on plants	contaminant	
seed contaminant	contaminant	
timber trade	contaminant	
transportation of habitat material	contaminant	
stowaway		
angling/fishing equipment	stowaway	
container/bulk	stowaway	
hitchhikers in or on airplane	stowaway	
hitchhikers on ship/boat	stowaway	
machinery/equipment	stowaway	
people and their luggage/equipment	stowaway	
organic packing material	stowaway	
ship/boat ballast water	stowaway	
ship/boat hull fouling	stowaway	
vehicles	stowaway	
other means of transport	stowaway	
corridor		
interconnected waterways/basins/seas	corridor	
tunnels and land bridges	corridor	
unaided		
